leaderboard,benchmark,model_A,model_B,reported_gap,n,eps_A,eps_B,accuracy_floor,ece_floor,verdict
Tech reports / HELM,MMLU,GPT-4,GPT-4o,0.0230,14042,0.1360,0.1130,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4,Claude 3 Opus,0.0040,14042,0.1360,0.1320,0.0060,0.0220,NO
Tech reports / HELM,MMLU,GPT-4,Claude 3.5 Sonnet,0.0230,14042,0.1360,0.1130,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4,Gemini 1.5 Pro,0.0050,14042,0.1360,0.1410,0.0060,0.0220,NO
Tech reports / HELM,MMLU,GPT-4,Gemini Ultra,0.0360,14042,0.1360,0.1000,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4,Llama-3-405B,0.0240,14042,0.1360,0.1600,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4,Llama-3.1-405B,0.0240,14042,0.1360,0.1600,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4,Qwen3-Next-80B,0.0290,14042,0.1360,0.1650,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4,Llama-4-Maverick,0.1370,14042,0.1360,0.2730,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4o,Claude 3 Opus,0.0190,14042,0.1130,0.1320,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4o,Claude 3.5 Sonnet,0.0000,14042,0.1130,0.1130,0.0060,0.0220,NO
Tech reports / HELM,MMLU,GPT-4o,Gemini 1.5 Pro,0.0280,14042,0.1130,0.1410,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4o,Gemini Ultra,0.0130,14042,0.1130,0.1000,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4o,Llama-3-405B,0.0470,14042,0.1130,0.1600,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4o,Llama-3.1-405B,0.0470,14042,0.1130,0.1600,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4o,Qwen3-Next-80B,0.0520,14042,0.1130,0.1650,0.0060,0.0220,YES
Tech reports / HELM,MMLU,GPT-4o,Llama-4-Maverick,0.1600,14042,0.1130,0.2730,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3 Opus,Claude 3.5 Sonnet,0.0190,14042,0.1320,0.1130,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3 Opus,Gemini 1.5 Pro,0.0090,14042,0.1320,0.1410,0.0060,0.0220,Marginal
Tech reports / HELM,MMLU,Claude 3 Opus,Gemini Ultra,0.0320,14042,0.1320,0.1000,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3 Opus,Llama-3-405B,0.0280,14042,0.1320,0.1600,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3 Opus,Llama-3.1-405B,0.0280,14042,0.1320,0.1600,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3 Opus,Qwen3-Next-80B,0.0330,14042,0.1320,0.1650,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3 Opus,Llama-4-Maverick,0.1410,14042,0.1320,0.2730,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3.5 Sonnet,Gemini 1.5 Pro,0.0280,14042,0.1130,0.1410,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3.5 Sonnet,Gemini Ultra,0.0130,14042,0.1130,0.1000,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3.5 Sonnet,Llama-3-405B,0.0470,14042,0.1130,0.1600,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3.5 Sonnet,Llama-3.1-405B,0.0470,14042,0.1130,0.1600,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3.5 Sonnet,Qwen3-Next-80B,0.0520,14042,0.1130,0.1650,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Claude 3.5 Sonnet,Llama-4-Maverick,0.1600,14042,0.1130,0.2730,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Gemini 1.5 Pro,Gemini Ultra,0.0410,14042,0.1410,0.1000,0.0060,0.0220,YES
Tech reports / HELM,MMLU,Gemini 1.5 Pro,Llama-3-405B,0.0190,14042,0.1410,0.1600,0.0060,0.0220,YES
